"Date","Price","Open","High","Low","Vol.","Change %"
"08/31/2023","216.70","223.80","225.78","215.11","465.26K","-3.17%"
"08/30/2023","223.80","226.90","227.19","221.80","313.38K","-1.37%"
"08/29/2023","226.90","218.80","233.50","217.00","691.52K","3.70%"
"08/28/2023","218.80","218.30","219.20","215.60","318.23K","0.23%"
"08/27/2023","218.30","216.50","219.70","215.90","191.66K","0.83%"
"08/26/2023","216.50","218.40","219.19","216.10","150.04K","-0.87%"
"08/25/2023","218.40","219.00","219.50","213.91","394.29K","-0.27%"
"08/24/2023","219.00","216.70","220.50","215.70","381.06K","1.06%"
"08/23/2023","216.70","210.90","218.60","210.80","662.95K","2.75%"
"08/22/2023","210.90","210.40","212.70","203.80","897.16K","0.24%"
"08/21/2023","210.40","216.50","216.80","206.70","801.42K","-2.82%"
"08/20/2023","216.50","216.90","217.90","215.40","194.55K","-0.18%"
"08/19/2023","216.90","216.10","219.20","214.10","330.47K","0.37%"
"08/18/2023","216.10","218.09","220.30","213.50","692.77K","-0.92%"
"08/17/2023","218.09","232.10","232.40","214.29","1.05M","-6.03%"
"08/16/2023","232.10","236.89","237.40","231.01","436.00K","-2.03%"
"08/15/2023","236.89","240.50","240.70","235.01","409.00K","-1.50%"
"08/14/2023","240.50","240.20","241.40","239.80","204.83K","0.12%"
"08/13/2023","240.20","240.30","241.80","239.90","135.86K","0.00%"
"08/12/2023","240.20","239.70","241.20","239.30","117.72K","0.21%"
"08/11/2023","239.70","241.40","242.30","238.30","296.24K","-0.70%"
"08/10/2023","241.40","243.80","244.10","240.50","267.63K","-0.99%"
"08/09/2023","243.80","245.20","245.50","242.80","299.88K","-0.57%"
"08/08/2023","245.20","242.10","247.87","241.50","387.51K","1.28%"
"08/07/2023","242.10","243.20","244.80","239.70","310.96K","-0.45%"
"08/06/2023","243.20","243.30","245.50","242.80","282.60K","-0.04%"
"08/05/2023","243.30","241.70","243.30","240.20","179.81K","0.62%"
"08/04/2023","241.80","241.10","243.40","240.70","280.68K","0.29%"
"08/03/2023","241.10","240.70","241.90","238.50","311.31K","0.17%"
"08/02/2023","240.70","247.79","248.79","235.90","652.40K","-2.86%"
"08/01/2023","247.79","240.90","247.79","238.10","832.08K","2.86%"
"07/31/2023","240.90","242.50","244.40","240.70","339.76K","-0.66%"
"07/30/2023","242.50","242.50","243.80","240.60","260.86K","0.00%"
"07/29/2023","242.50","241.90","242.89","241.10","104.85K","0.25%"
"07/28/2023","241.90","240.70","242.90","239.71","237.92K","0.54%"
"07/27/2023","240.60","239.00","243.60","238.50","319.42K","0.67%"
"07/26/2023","239.00","237.80","240.30","236.50","328.86K","0.50%"
"07/25/2023","237.80","239.00","239.70","236.60","316.03K","-0.50%"
"07/24/2023","239.00","242.40","243.00","235.51","478.39K","-1.40%"
"07/23/2023","242.40","240.90","243.90","240.50","177.30K","0.62%"
"07/22/2023","240.90","243.80","244.80","240.20","189.81K","-1.19%"
"07/21/2023","243.80","242.70","245.20","242.20","306.09K","0.45%"
"07/20/2023","242.70","241.00","245.00","240.60","464.08K","0.71%"
